#TYPE Selected.System.Diagnostics.Process
"ProcessName","Path","Id"
"AcrobatNotificationClient","C:\Program Files\WindowsApps\ReaderNotificationClient_1.0.4.0_x86__e1rzdqpraam7r\AcrobatNotificationClient.exe","9292"
"AdobeCollabSync","C:\Program Files\Adobe\Acrobat DC\Acrobat\AdobeCollabSync.exe","14044"
"AdobeCollabSync","C:\Program Files\Adobe\Acrobat DC\Acrobat\AdobeCollabSync.exe","16444"
"AdobeIPCBroker","C:\Program Files (x86)\Common Files\Adobe\Adobe Desktop Common\IPCBox\AdobeIPCBroker.exe","24960"
"AdobeUpdateService",,"4936"
"AGMService",,"5128"
"AGSService",,"4452"
"ApplicationFrameHost","C:\WINDOWS\system32\ApplicationFrameHost.exe","16504"
"armsvc",,"4844"
"atmgr","c:\users\colec\appdata\local\webex\webex64\meetings\atmgr.exe","15332"
"audiodg",,"19468"
"Calculator","C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_10.2103.8.0_x64__8wekyb3d8bbwe\Calculator.exe","21012"
"CCXProcess","C:\Program Files\Adobe\Adobe Creative Cloud Experience\CCXProcess.exe","14356"
"CefSharp.BrowserSubprocess","C:\Program Files (x86)\Razer\Razer Services\Razer Central\CefSharp.BrowserSubprocess.exe","11552"
"CefSharp.BrowserSubprocess","C:\Program Files (x86)\Razer\Razer Services\Razer Central\CefSharp.BrowserSubprocess.exe","17704"
"CefSharp.BrowserSubprocess","C:\Program Files (x86)\Razer\Razer Services\Razer Central\CefSharp.BrowserSubprocess.exe","19052"
"CefSharp.BrowserSubprocess","C:\Program Files (x86)\Razer\Razer Services\Razer Central\CefSharp.BrowserSubprocess.exe","25220"
"CefSharp.BrowserSubprocess","C:\Program Files (x86)\Razer\Razer Services\Razer Central\CefSharp.BrowserSubprocess.exe","25320"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","1192"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","2712"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","6400"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","7348"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","8204"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","9032"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","11248"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","14832"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","16740"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","17708"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","17972"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","20596"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","20940"
"chrome","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","21700"
"Code","C:\Users\colec\AppData\Local\Programs\Microsoft VS Code\Code.exe","468"
"Code","C:\Users\colec\AppData\Local\Programs\Microsoft VS Code\Code.exe","12060"
"Code","C:\Users\colec\AppData\Local\Programs\Microsoft VS Code\Code.exe","13264"
"Code","C:\Users\colec\AppData\Local\Programs\Microsoft VS Code\Code.exe","13732"
"Code","C:\Users\colec\AppData\Local\Programs\Microsoft VS Code\Code.exe","14512"
"Code","C:\Users\colec\AppData\Local\Programs\Microsoft VS Code\Code.exe","15348"
"Code","C:\Users\colec\AppData\Local\Programs\Microsoft VS Code\Code.exe","15516"
"Code","C:\Users\colec\AppData\Local\Programs\Microsoft VS Code\Code.exe","16868"
"Code","C:\Users\colec\AppData\Local\Programs\Microsoft VS Code\Code.exe","20136"
"Code","C:\Users\colec\AppData\Local\Programs\Microsoft VS Code\Code.exe","20552"
"Code","C:\Users\colec\AppData\Local\Programs\Microsoft VS Code\Code.exe","20952"
"conhost",,"5744"
"conhost","C:\WINDOWS\system32\conhost.exe","11900"
"conhost","C:\WINDOWS\system32\conhost.exe","12336"
"conhost","C:\WINDOWS\system32\conhost.exe","12896"
"conhost","C:\WINDOWS\system32\conhost.exe","18192"
"conhost","C:\WINDOWS\system32\conhost.exe","25112"
"CortexLauncherService",,"4712"
"csrss",,"904"
"csrss",,"15300"
"ctfmon",,"8484"
"dasHost",,"5240"
"dasHost",,"7828"
"DAX3API",,"4676"
"DAX3API",,"23456"
"dllhost","C:\WINDOWS\system32\DllHost.exe","1356"
"dllhost",,"10852"
"dllhost","C:\WINDOWS\system32\DllHost.exe","15356"
"dwm",,"18328"
"esif_uf",,"4664"
