#TYPE Selected.System.ServiceProcess.ServiceController
"Status","Name","DisplayName","BinaryPathName"
"Stopped","AarSvc_926c40b","Agent Activation Runtime_926c40b",
"Running","AdobeARMservice","Adobe Acrobat Update Service",
"Running","AdobeUpdateService","AdobeUpdateService",
"Running","AGMService","Adobe Genuine Monitor Service",
"Running","AGSService","Adobe Genuine Software Integrity Service",
"Stopped","AJRouter","AllJoyn Router Service",
"Stopped","ALG","Application Layer Gateway Service",
"Stopped","AppIDSvc","Application Identity",
"Running","Appinfo","Application Information",
"Stopped","AppReadiness","App Readiness",
"Running","AppXSvc","AppX Deployment Service (AppXSVC)",
"Running","AudioEndpointBuilder","Windows Audio Endpoint Builder",
"Running","Audiosrv","Windows Audio",
"Stopped","autotimesvc","Cellular Time",
"Stopped","AxInstSV","ActiveX Installer (AxInstSV)",
"Stopped","BcastDVRUserService_926c40b","GameDVR and Broadcast User Service_926c40b",
"Stopped","BDESVC","BitLocker Drive Encryption Service",
"Stopped","BEService","BattlEye Service",
"Running","BFE","Base Filtering Engine",
"Stopped","BITS","Background Intelligent Transfer Service",
"Stopped","BluetoothUserService_926c40b","Bluetooth User Support Service_926c40b",
"Running","BrokerInfrastructure","Background Tasks Infrastructure Service",
"Stopped","BTAGService","Bluetooth Audio Gateway Service",
"Running","BthAvctpSvc","AVCTP service",
"Running","bthserv","Bluetooth Support Service",
"Running","camsvc","Capability Access Manager Service",
"Stopped","CaptureService_926c40b","CaptureService_926c40b",
"Running","cbdhsvc_926c40b","Clipboard User Service_926c40b",
"Running","CDPSvc","Connected Devices Platform Service",
"Running","CDPUserSvc_926c40b","Connected Devices Platform User Service_926c40b",
"Stopped","CertPropSvc","Certificate Propagation",
"Running","ClickToRunSvc","Microsoft Office Click-to-Run Service",
"Running","client_service","VMware Horizon Client",
"Stopped","ClipSVC","Client License Service (ClipSVC)",
"Stopped","COMSysApp","COM+ System Application",
"Stopped","ConsentUxUserSvc_926c40b","ConsentUX_926c40b",
"Running","CoreMessagingRegistrar","CoreMessaging",
"Running","CortexLauncherService","CortexLauncherService",
